cc,year,gdp
AL,2008,3775.380988
AL,2009,3928.338638
AM,2016,2455.918559
AM,2015,2562.522216
AO,2016,3582.647562
AO,2015,3730.169063
BD,2004,570.336736
BD,2007,666.4014472
BD,2011,797.4116804
BD,2014,922.161128
BF,2003,478.3043523
BF,2010,575.4464527
BJ,2001,709.4693622
BJ,2012,773.1370262
BO,2008,1901.899802
BU,2011,4504.920098
BU,2010,4463.394675
CD,2007,10619.61365
CD,2014,9779.883487
CD,2013,9711.112717
CI,2012,774.4709894
CI,2011,770.3227581
CM,2004,1272.851204
CM,2011,1326.646015
CO,2010,6250.66
CO,2009,5148.42
DR,2007,48710.66462
DR,2013,39104.30185
EG,2000,1336.42961
EG,2003,1224.968341
EG,2005,1216.208471
EG,2008,1211.623843
EG,2014,1384.910349
ET,1992,1574.84393
ET,1997,1772.210449
ET,2003,2015.897997
ET,2008,2456.731426
GA,2012,391.1317953
GH,2003,9788.879137
GH,2008,8715.456719
GH,2014,9508.148293
GN,2005,30592.1608
GN,2012,31257.15694
GU,2014,1659.776145
GU,2015,1685.986121
GY,2009,622.938229
HN,2012,698.7877652
HN,2011,688.8433867
HT,2000,2354.531528
HT,2006,2576.775327
HT,2005,2446.651895
HT,2012,3342.920663
JO,2002,11147.26339
JO,2007,15466.95277
JO,2012,12069.81138
KE,2003,1674.395484
KE,2009,1900.382571
KE,2008,1987.914083
KE,2014,2059.474909
KH,2000,428.5059056
KH,2005,613.2790099
KH,2006,669.0363309
KH,2010,785.6928841
KH,2011,827.9784081
KH,2014,972.9792448
KM,2012,6789.525373
KY,2012,3606.480554
LB,2007,935.6565083
LB,2006,900.1005647
LB,2013,1048.269206
LS,2004,6636.30315
LS,2005,6606.292
LS,2009,8501.108516
LS,2010,8858.283977
LS,2014,7447.364344
MA,2003,1189.312174
MA,2004,1280.485916
MB,2005,666.257623
MD,2008,5899.709921
MD,2009,5783.469395
ML,2001,355.5508487
ML,2006,379.438608
ML,2012,461.8873418
ML,2013,471.8404663
MM,2016,515.3872817
MM,2015,510.7920796
MW,2000,880.3716788
MW,2004,943.6131803
MW,2005,968.3999117
MW,2010,1169.267842
MW,2016,1352.476709
MW,2015,1338.535374
MZ,2011,2942.038817
NG,2003,476.4581877
NG,2008,551.6441032
NG,2013,645.2510105
NM,2000,8182.686502
NM,2007,9830.68092
NM,2006,9112.113163
NM,2013,10699.19772
NP,2001,381.7030096
NP,2000,346.7746454
