country,year,gdp
ET,1992,163.6232806
ET,2003,193.8669151
ET,1997,199.1113029
BU,2010,231.1943256
BU,2011,233.518126
LB,2006,292.0377423
ET,2008,293.8533133
CD,2007,300.2918288
LB,2007,307.3996186
CD,2013,357.5703375
MW,2004,371.7873703
MW,2005,373.232125
CD,2014,378.7914096
LB,2013,383.0794397
MW,2000,384.6801697
SL,2008,384.8980309
UG,2000,412.1963804
UG,2001,419.3357838
MD,2009,423.3057408
KH,2000,428.5059056
RW,2005,430.6336053
MZ,2011,436.1431815
MD,2008,453.6365642
MW,2010,458.8681744
NP,2000,459.11634
NP,2001,472.7717925
BF,2003,478.3043523
MW,2016,481.4519367
MW,2015,483.628811
NP,2005,502.2394279
NP,2006,513.1274616
UG,2006,513.75276
TG,2013,514.944966
TG,2014,531.1561022
SL,2013,550.8759817
RW,2010,563.4910487
BD,2004,570.336736
BF,2010,575.4464527
RW,2011,591.8214092
NP,2010,592.1835216
NP,2011,605.6336526
GN,2005,606.8744023
KH,2005,613.2790099
ML,2001,620.2847837
UG,2011,629.2404465
BD,2007,666.4014472
KH,2006,669.0363309
RW,2014,672.7489187
ML,2006,674.7401265
ML,2013,678.7562806
GN,2012,679.556106
TZ,2009,680.8061303
ML,2012,683.0015974
HT,2005,688.7029848
HT,2006,693.2629969
HT,2012,698.7877652
TZ,2010,701.6045501
BJ,2001,709.4693622
RW,2015,714.5431748
ZW,2010,719.979517
TL,2009,743.7555695
HT,2000,766.9367172
ZW,2006,772.4725861
BJ,2012,773.1370262
KM,2012,774.4709894
KH,2010,785.6928841
BD,2011,797.4116804
TL,2010,806.0627745
ZW,2005,811.5629533
ZW,2011,813.8340105
TJ,2012,814.7750688
KE,2003,824.4701522
KH,2011,827.9784081
TZ,2015,835.9709459
TZ,2016,866.9544012
KY,2012,905.1656688
KE,2008,912.3767192
KE,2009,917.0438267
BD,2014,922.161128
ZW,2015,933.5032636
LS,2004,943.6131803
TD,2015,953.5914071
TD,2014,967.1027773
SN,2005,967.4987203
LS,2005,968.3999117
KH,2014,972.9792448
SN,2011,990.6804733
SN,2010,1002.52994
SN,2012,1003.991525
SN,2013,1008.024039
GH,2003,1026.398358
SN,2015,1052.95882
KE,2014,1075.638763
SN,2016,1092.251162
LS,2009,1113.984813
CI,2011,1138.664957
LS,2010,1169.267842
GH,2008,1220.713267
ZM,2007,1226.540548
CI,2012,1229.7782
CM,2004,1272.851204
ZW,1999,1317.968843
LS,2014,1323.237732
CM,2011,1326.646015
MM,2015,1342.263064
MB,2005,1379.875617
MM,2016,1408.14066
NG,2003,1426.903307
ZM,2013,1595.915037
ZM,2014,1620.82329
GH,2014,1659.776145
BO,2008,1901.899802
EG,2000,1950.606982
HN,2011,1969.310414
HN,2012,2013.478306
EG,2003,2015.897997
EG,2005,2112.48797
NG,2008,2128.666632
MA,2003,2230.904753
MA,2004,2310.338449
EG,2008,2456.731426
NG,2013,2475.948058
EG,2014,2608.375197
GY,2009,2927.327312
GU,2014,3007.900213
JO,2002,3020.089846
GU,2015,3069.043518
JO,2012,3481.688742
SZ,2006,3568.857276
AO,2016,3582.647562
SZ,2007,3668.480734
JO,2007,3687.233645
AO,2015,3730.169063
NM,2000,3746.713119
AL,2008,3775.380988
PE,2005,3831.364851
AL,2009,3928.338638
AM,2016,3932.554617
AM,2015,3935.288772
PE,2007,4362.948992
PE,2009,4695.675167
PE,2008,4703.079928
NM,2006,4715.105966
NM,2007,4968.664034
DR,2007,5030.363644
NM,2013,5679.278652
DR,2013,5825.533484
CO,2009,6078.31534
CO,2010,6250.654926
GA,2012,9212.291274
