"FarmSystem","p","b","n","maxspi","minspi","meanspi"
"eap_fs_final_10dec-1. Lowland rice",0.913020420239714,0.176445548226374,9822,2.51950326550179,-2.00362188325514,0.48755451007133
"eap_fs_final_10dec-4. Upland intensive mixed",0.00251069132031567,-22.294658942822,7141,1.70325295477403,-1.78329569012299,0.378794922612064
"eap_fs_final_10dec - Urban",0.0816628026884358,-4.02044144661409,5571,2.62943852461981,-1.7263320073264,0.423050674862546
"eca_fs_final-4. Horticulture mixed",0.0808211759153352,-7.71246630110926,1856,2.91411290867165,-1.25934575956239,0.736610283211576
"eca_fs_final-8. Pastoral",0.946843646727096,-0.259857142862264,4725,1.15575355976426,-2.14087645467677,-0.0420250862120271
"eca_fs_final - Urban",0.996089821439547,-0.0134949034245905,5369,2.98731806177831,-1.93435299009628,0.752329053843524
"lac_fsl_final-2. Forest based",0.00894506111479965,11.1409794659133,4009,2.13447299301295,-1.51016064086904,0.156399208707957
"lac_fsl_final-3. Coastal plantation & mixed",0,-23.0942034218239,19238,3.06100391340761,-1.95316228196085,0.763047197524209
"lac_fsl_final-6. Maize-beans (Mesoamerica)",0.146904156959376,-4.78576770885145,11185,2.94340697748459,-0.528959231089991,1.19064106334752
"lac_fsl_final-8. Intensive highland mixed (North Andes)",0.0077197084454097,13.6356628197727,2392,1.79100949455809,-1.42211103300309,0.207312240904973
"lac_fsl_final-9. High altitude mixed (Central Andes)",0.0570465056336498,3.80544359662656,8166,2.4852150487721,-1.68364118274433,0.247275773302065
"lac_fsl_final - Urban",0,-12.2801305289347,40192,3.26033599429511,-2.78446668983707,0.442640731207879
"mena_fs_final03dec-1. Irrigated",2.04414263293984e-12,16.4226670784909,28190,4.52260280152289,-3.3898352966697,-0.307388293212411
"mena_fs_final03dec-4. Dryland mixed",0.00406140805985933,28.6374467313875,1955,0.592646393761154,-1.43067206444322,-0.412636100622493
"mena_fs_final03dec-5. Pastoral",0.00151541394272892,-13.6515978412954,5086,2.7714405924532,-2.28363493043375,-0.271478742071165
"mena_fs_final03dec - Urban",0.0167942244540749,4.70363656776102,29484,2.03570485239142,-3.11052847225376,-0.397190100630279
"sasia_fs_final-1. Rice",0.010030102777046,-4.13756773549906,9083,1.83780067271996,-2.26331949374248,-0.460928991579119
"sasia_fs_final-3. Rice-wheat",0.396534409980435,-3.08360802769064,7473,1.45007693621973,-2.39924652995889,-0.116407235690067
"sasia_fs_final-4. Highland mixed",0.0772410859788126,-5.82537770883163,7059,1.48509188673564,-1.29408579235545,0.15414965297399
"sasia_fs_final - Urban",0.0010508075972071,-6.21692522614824,8600,1.80557136526211,-2.41107680877347,-0.398241285910354
"ssa_fs_final-1. Irrigated",0.47292240773584,4.34766147011549,2992,2.18225132056231,-1.30757624124431,0.292746252132992
"ssa_fs_final-11. Agro-pastoral millet/sorghum",3.27428299362609e-07,7.14352280578485,30642,2.39637937422612,-2.5626410485853,0.376124098356387
"ssa_fs_final-12. Pastoral",4.44089209850063e-16,21.0870217522078,10860,2.37117719747273,-2.68030396996716,-0.124269830312267
"ssa_fs_final-14. Coastal artisanal fishing",0.282253982030931,2.03443612654924,11915,2.89690142299632,-2.56640550459925,0.320814347252256
"ssa_fs_final-2. Tree crop",0.0024820413783031,5.80536772951263,8915,3.11714091522035,-2.64549791186208,0.0726816532606468
"ssa_fs_final-3. Forest based",0.0527248554668691,-8.60531033729801,6090,1.98220958780307,-2.30272996624423,-0.0314485358220623
"ssa_fs_final-5. Highland perennial",1.20305765349826e-10,9.32846730627614,20193,2.56757538752875,-2.39444794451558,-0.0629004653242414
"ssa_fs_final-6. Highland temperate mixed",0.490028550405036,-1.02147399505358,14355,2.49451860271667,-3.18996364611327,-0.207802551866767
"ssa_fs_final-7. Root crop",0.698434472024319,-0.686091338474232,20591,2.431248208993,-2.80992447891571,0.0914102888663489
"ssa_fs_final-8. Cereal-root crop mixed",0.00175582778367822,4.17847017246118,33897,2.31183971908621,-3.25001416178835,0.110985373607003
"ssa_fs_final-9. Maize mixed",4.44089209850063e-16,7.72453851985596,55098,2.97223840822483,-2.92523307562399,0.133377909683908
"ssa_fs_final - Urban",1.81348998524733e-05,3.06189259008587,80604,3.01130684737583,-2.6990384248803,0.175851222599555
