level,label,term
child,(Intercept),(Intercept)
child,Child's Age (Months),age
child,Birthmonth - February,as.factor(calc_birthmonth)2
child,Birthmonth - March,as.factor(calc_birthmonth)3
child,Birthmonth - April,as.factor(calc_birthmonth)4
child,Birthmonth - May,as.factor(calc_birthmonth)5
child,Birthmonth - June,as.factor(calc_birthmonth)6
child,Birthmonth - July,as.factor(calc_birthmonth)7
child,Birthmonth - August,as.factor(calc_birthmonth)8
child,Birthmonth - September,as.factor(calc_birthmonth)9
child,Birthmonth - October,as.factor(calc_birthmonth)10
child,Birthmonth - November,as.factor(calc_birthmonth)11
child,Birthmonth - December,as.factor(calc_birthmonth)12
child,Child's Birth Order,birth_order
child,Household Size,hhsize
child,Child is Male,sexMale
child,Mother's Years of Education,mother_years_ed
child,Toilet is No Facility,toiletNo Facility
child,Toilet is Other,toiletOther
child,Toilet is Pit Latrine ,toiletPit Latrine
child,Household Head Age,head_age
child,Household Head is Male,head_sexMale
child,Wealth Quintile - Poorer,wealth_indexPoorer
child,Wealth Quintile - Poorest,wealth_indexPoorest
child,Wealth Quintile - Richer,wealth_indexRicher
child,Wealth Quintile - Richest,wealth_indexRichest
na,Wet Period,speiDry
na,Dry Period,speiWet
geo,Human Development Index,grid_hdi
geo,Import Value Per Capita,imports_percap
geo,Built Up Land Cover,builtup
geo,Mean Annual Precipitation,mean_annual_precip
geo,Forest Cover,forest
geo,Topographic Ruggedness,roughness
geo,Crop Production,crop_prod
geo,Irrigation,irrig_aai
geo,Nutrition Diversity of Crops,nutritiondiversity
geo,Stability and Absence of Violence,stability_violence
interaction,Human Development Index,speiDry:grid_hdi
interaction,Human Development Index,speiWet:grid_hdi
interaction,Import Value Per Capita,speiDry:imports_percap
interaction,Import Value Per Capita,speiWet:imports_percap
interaction,Built Up Land Cover,speiDry:builtup
interaction,Built Up Land Cover,speiWet:builtup
interaction,Mean Annual Precipitation,speiDry:mean_annual_precip
interaction,Mean Annual Precipitation,speiWet:mean_annual_precip
interaction,Forest Cover,speiDry:forest
interaction,Forest Cover,speiWet:forest
interaction,Topographic Ruggedness,speiDry:roughness
interaction,Topographic Ruggedness,speiWet:roughness
interaction,Crop Production,speiDry:crop_prod
interaction,Crop Production,speiWet:crop_prod
interaction,Irrigation,speiDry:irrig_aai
interaction,Irrigation,speiWet:irrig_aai
interaction,Nutrition Diversity of Crops,speiDry:nutritiondiversity
interaction,Nutrition Diversity of Crops,speiWet:nutritiondiversity
interaction,Stability and Absence of Violence,speiDry:stability_violence
interaction,Stability and Absence of Violence,speiWet:stability_violence
