"","label","estimate","std.error","stars"
"1","(Intercept)",-0.2,0.025,"***"
"2","Birthmonth - April",0.032,0.0089,"***"
"3","Birthmonth - August",0.09,0.0089,"***"
"4","Birthmonth - December",0.19,0.009,"***"
"5","Birthmonth - February",0.0031,0.009,""
"6","Birthmonth - July",0.065,0.009,"***"
"7","Birthmonth - June",0.061,0.009,"***"
"8","Birthmonth - March",0.015,0.0089,""
"9","Birthmonth - May",0.045,0.0089,"***"
"10","Birthmonth - November",0.16,0.0091,"***"
"11","Birthmonth - October",0.14,0.0089,"***"
"12","Birthmonth - September",0.1,0.0089,"***"
"13","Child's Age (Months)",-0.016,0.00011,"***"
"14","Child's Birth Order",-0.0099,0.00085,"***"
"15","Child is Male",-0.096,0.0037,"***"
"16","Household Head Age",0.003,0.00016,"***"
"17","Household Head is Male",-0.023,0.005,"***"
"18","Household Size",-0.00092,0.00054,""
"19","Mother's Years of Education",0.029,0.00052,"***"
"20","Toilet is No Facility",-0.13,0.0058,"***"
"21","Toilet is Other",-0.12,0.018,"***"
"22","Toilet is Pit Latrine ",-0.16,0.0051,"***"
"23","Wealth Quintile - Poorer",-0.08,0.0057,"***"
"24","Wealth Quintile - Poorest",-0.17,0.0058,"***"
"25","Wealth Quintile - Richer",0.11,0.0061,"***"
"26","Wealth Quintile - Richest",0.35,0.0071,"***"
